GEOid2,GEOdisplaylabel,total_over_18_pop,hispanic_over_18_pop
48029171903,"Census Tract 1719.03, Bexar County, Texas",4770,3400
48029171912,"Census Tract 1719.12, Bexar County, Texas",4161,2367
48029171913,"Census Tract 1719.13, Bexar County, Texas",3468,2324
48029171914,"Census Tract 1719.14, Bexar County, Texas",3747,2381
48029171915,"Census Tract 1719.15, Bexar County, Texas",1651,984
48029171916,"Census Tract 1719.16, Bexar County, Texas",4525,2525
48029171917,"Census Tract 1719.17, Bexar County, Texas",5631,3167
48029171918,"Census Tract 1719.18, Bexar County, Texas",3617,1686
48029171919,"Census Tract 1719.19, Bexar County, Texas",1946,1254
48029171920,"Census Tract 1719.20, Bexar County, Texas",5649,3848
48029171921,"Census Tract 1719.21, Bexar County, Texas",3989,2870
48029171922,"Census Tract 1719.22, Bexar County, Texas",2290,1573
48029171923,"Census Tract 1719.23, Bexar County, Texas",5441,3351
48029171924,"Census Tract 1719.24, Bexar County, Texas",3184,1385
48029171925,"Census Tract 1719.25, Bexar County, Texas",6712,3824
48029172002,"Census Tract 1720.02, Bexar County, Texas",5566,2454
48029172003,"Census Tract 1720.03, Bexar County, Texas",4040,1761
48029172004,"Census Tract 1720.04, Bexar County, Texas",1906,523
48029172005,"Census Tract 1720.05, Bexar County, Texas",2435,1065
48029172006,"Census Tract 1720.06, Bexar County, Texas",4552,2052
48029172007,"Census Tract 1720.07, Bexar County, Texas",6285,2674
48029180101,"Census Tract 1801.01, Bexar County, Texas",3979,3220
48029180102,"Census Tract 1801.02, Bexar County, Texas",1549,1078
48029180201,"Census Tract 1802.01, Bexar County, Texas",3724,3206
48029180202,"Census Tract 1802.02, Bexar County, Texas",4177,3328
48029180300,"Census Tract 1803, Bexar County, Texas",3170,2782
48029180400,"Census Tract 1804, Bexar County, Texas",2828,2435
48029180501,"Census Tract 1805.01, Bexar County, Texas",3367,2686
48029180503,"Census Tract 1805.03, Bexar County, Texas",3189,2854
48029180504,"Census Tract 1805.04, Bexar County, Texas",2956,2715
48029180602,"Census Tract 1806.02, Bexar County, Texas",2532,1678
48029180603,"Census Tract 1806.03, Bexar County, Texas",1406,907
48029180604,"Census Tract 1806.04, Bexar County, Texas",4462,3221
48029180701,"Census Tract 1807.01, Bexar County, Texas",3306,1577
48029180702,"Census Tract 1807.02, Bexar County, Texas",5102,2944
48029180800,"Census Tract 1808, Bexar County, Texas",1874,1292
48029180901,"Census Tract 1809.01, Bexar County, Texas",3904,2735
48029180902,"Census Tract 1809.02, Bexar County, Texas",5675,4424
48029181001,"Census Tract 1810.01, Bexar County, Texas",2443,1487
48029181003,"Census Tract 1810.03, Bexar County, Texas",4726,2377
48029181004,"Census Tract 1810.04, Bexar County, Texas",4086,1972
48029181005,"Census Tract 1810.05, Bexar County, Texas",2775,1796
48029181100,"Census Tract 1811, Bexar County, Texas",4649,1865
48029181200,"Census Tract 1812, Bexar County, Texas",3947,1416
48029181301,"Census Tract 1813.01, Bexar County, Texas",3353,1602
48029181302,"Census Tract 1813.02, Bexar County, Texas",5191,2567
48029181303,"Census Tract 1813.03, Bexar County, Texas",2529,982
48029181402,"Census Tract 1814.02, Bexar County, Texas",1770,729
48029181403,"Census Tract 1814.03, Bexar County, Texas",4493,2095
48029181404,"Census Tract 1814.04, Bexar County, Texas",3854,1258
48029181503,"Census Tract 1815.03, Bexar County, Texas",5017,2279
48029181504,"Census Tract 1815.04, Bexar County, Texas",4831,2324
48029181505,"Census Tract 1815.05, Bexar County, Texas",3393,1767
48029181506,"Census Tract 1815.06, Bexar County, Texas",3245,1849
48029181601,"Census Tract 1816.01, Bexar County, Texas",2348,1688
48029181602,"Census Tract 1816.02, Bexar County, Texas",3916,3268
48029181703,"Census Tract 1817.03, Bexar County, Texas",5356,2077
48029181704,"Census Tract 1817.04, Bexar County, Texas",4037,2447
48029181705,"Census Tract 1817.05, Bexar County, Texas",3644,2044
48029181711,"Census Tract 1817.11, Bexar County, Texas",5527,2750
48029181712,"Census Tract 1817.12, Bexar County, Texas",2861,1402
48029181713,"Census Tract 1817.13, Bexar County, Texas",5225,2853
48029181715,"Census Tract 1817.15, Bexar County, Texas",4413,2940
48029181716,"Census Tract 1817.16, Bexar County, Texas",5072,3354
48029181718,"Census Tract 1817.18, Bexar County, Texas",3802,1705
48029181720,"Census Tract 1817.20, Bexar County, Texas",3155,1344
48029181721,"Census Tract 1817.21, Bexar County, Texas",2442,1273
48029181722,"Census Tract 1817.22, Bexar County, Texas",3275,1560
48029181723,"Census Tract 1817.23, Bexar County, Texas",3223,1700
48029181724,"Census Tract 1817.24, Bexar County, Texas",2914,1380
48029181725,"Census Tract 1817.25, Bexar County, Texas",3948,2478
48029181726,"Census Tract 1817.26, Bexar County, Texas",6196,3164
48029181727,"Census Tract 1817.27, Bexar County, Texas",2197,1490
48029181728,"Census Tract 1817.28, Bexar County, Texas",6497,3886
48029181729,"Census Tract 1817.29, Bexar County, Texas",2336,1101
48029181730,"Census Tract 1817.30, Bexar County, Texas",2836,1611
48029181731,"Census Tract 1817.31, Bexar County, Texas",5232,2702
48029181808,"Census Tract 1818.08, Bexar County, Texas",1163,482
48029181809,"Census Tract 1818.09, Bexar County, Texas",4711,2547
48029181811,"Census Tract 1818.11, Bexar County, Texas",3065,1324
