GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",3545,446,628,184,2917,413
1400000US48029141403,48029141403,"Census Tract 1414.03, Bexar County, Texas",3408,443,757,238,2651,474
1400000US48029141404,48029141404,"Census Tract 1414.04, Bexar County, Texas",4839,644,1646,283,3193,667
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",4470,476,475,188,3995,526
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",5068,634,1895,342,3173,579
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",5159,685,1868,339,3291,604
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",5592,641,3848,540,1744,568
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",5014,696,210,75,4804,709
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",4008,609,271,140,3737,609
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",4223,526,108,70,4115,522
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",3862,337,144,99,3718,339
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",3898,468,127,113,3771,526
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",4339,366,329,179,4010,376
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",5817,720,503,238,5314,738
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",3140,409,457,199,2683,413
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",6001,423,621,197,5380,482
