GEOid2,GEOdisplaylabel,hispanic_pop_perc
48029172002,"Census Tract 1720.02, Bexar County, Texas",44
48029172003,"Census Tract 1720.03, Bexar County, Texas",44
48029172004,"Census Tract 1720.04, Bexar County, Texas",27
48029172005,"Census Tract 1720.05, Bexar County, Texas",44
48029172006,"Census Tract 1720.06, Bexar County, Texas",45
48029172007,"Census Tract 1720.07, Bexar County, Texas",43
48029180101,"Census Tract 1801.01, Bexar County, Texas",81
48029180102,"Census Tract 1801.02, Bexar County, Texas",70
48029180201,"Census Tract 1802.01, Bexar County, Texas",86
48029180202,"Census Tract 1802.02, Bexar County, Texas",80
48029180300,"Census Tract 1803, Bexar County, Texas",88
48029180400,"Census Tract 1804, Bexar County, Texas",86
48029180501,"Census Tract 1805.01, Bexar County, Texas",80
48029180503,"Census Tract 1805.03, Bexar County, Texas",89
48029180504,"Census Tract 1805.04, Bexar County, Texas",92
48029180602,"Census Tract 1806.02, Bexar County, Texas",66
48029180603,"Census Tract 1806.03, Bexar County, Texas",65
48029180604,"Census Tract 1806.04, Bexar County, Texas",72
48029180701,"Census Tract 1807.01, Bexar County, Texas",48
48029180702,"Census Tract 1807.02, Bexar County, Texas",58
48029180800,"Census Tract 1808, Bexar County, Texas",69
48029180901,"Census Tract 1809.01, Bexar County, Texas",70
48029180902,"Census Tract 1809.02, Bexar County, Texas",78
48029181001,"Census Tract 1810.01, Bexar County, Texas",61
48029181003,"Census Tract 1810.03, Bexar County, Texas",50
48029181004,"Census Tract 1810.04, Bexar County, Texas",48
48029181005,"Census Tract 1810.05, Bexar County, Texas",65
48029181100,"Census Tract 1811, Bexar County, Texas",40
48029181200,"Census Tract 1812, Bexar County, Texas",36
48029181301,"Census Tract 1813.01, Bexar County, Texas",48
48029181302,"Census Tract 1813.02, Bexar County, Texas",49
48029181303,"Census Tract 1813.03, Bexar County, Texas",39
48029181402,"Census Tract 1814.02, Bexar County, Texas",41
48029181403,"Census Tract 1814.03, Bexar County, Texas",47
48029181404,"Census Tract 1814.04, Bexar County, Texas",33
48029181503,"Census Tract 1815.03, Bexar County, Texas",45
48029181504,"Census Tract 1815.04, Bexar County, Texas",48
48029181505,"Census Tract 1815.05, Bexar County, Texas",52
48029181506,"Census Tract 1815.06, Bexar County, Texas",57
48029181601,"Census Tract 1816.01, Bexar County, Texas",72
48029181602,"Census Tract 1816.02, Bexar County, Texas",83
48029181703,"Census Tract 1817.03, Bexar County, Texas",39
48029181704,"Census Tract 1817.04, Bexar County, Texas",61
48029181705,"Census Tract 1817.05, Bexar County, Texas",56
48029181711,"Census Tract 1817.11, Bexar County, Texas",50
48029181712,"Census Tract 1817.12, Bexar County, Texas",49
48029181713,"Census Tract 1817.13, Bexar County, Texas",55
48029181715,"Census Tract 1817.15, Bexar County, Texas",67
48029181716,"Census Tract 1817.16, Bexar County, Texas",66
48029181718,"Census Tract 1817.18, Bexar County, Texas",45
48029181720,"Census Tract 1817.20, Bexar County, Texas",43
48029181721,"Census Tract 1817.21, Bexar County, Texas",52
48029181722,"Census Tract 1817.22, Bexar County, Texas",48
48029181723,"Census Tract 1817.23, Bexar County, Texas",53
48029181724,"Census Tract 1817.24, Bexar County, Texas",47
48029181725,"Census Tract 1817.25, Bexar County, Texas",63
48029181726,"Census Tract 1817.26, Bexar County, Texas",51
48029181727,"Census Tract 1817.27, Bexar County, Texas",68
48029181728,"Census Tract 1817.28, Bexar County, Texas",60
48029181729,"Census Tract 1817.29, Bexar County, Texas",47
48029181730,"Census Tract 1817.30, Bexar County, Texas",57
48029181731,"Census Tract 1817.31, Bexar County, Texas",52
48029181808,"Census Tract 1818.08, Bexar County, Texas",41
48029181809,"Census Tract 1818.09, Bexar County, Texas",54
48029181811,"Census Tract 1818.11, Bexar County, Texas",43
48029181813,"Census Tract 1818.13, Bexar County, Texas",49
48029181814,"Census Tract 1818.14, Bexar County, Texas",36
48029181815,"Census Tract 1818.15, Bexar County, Texas",38
48029181816,"Census Tract 1818.16, Bexar County, Texas",41
48029181817,"Census Tract 1818.17, Bexar County, Texas",48
48029181818,"Census Tract 1818.18, Bexar County, Texas",41
48029181819,"Census Tract 1818.19, Bexar County, Texas",43
48029181820,"Census Tract 1818.20, Bexar County, Texas",33
48029181821,"Census Tract 1818.21, Bexar County, Texas",44
48029181822,"Census Tract 1818.22, Bexar County, Texas",45
48029181823,"Census Tract 1818.23, Bexar County, Texas",37
48029181824,"Census Tract 1818.24, Bexar County, Texas",44
48029181825,"Census Tract 1818.25, Bexar County, Texas",40
48029181826,"Census Tract 1818.26, Bexar County, Texas",43
48029181901,"Census Tract 1819.01, Bexar County, Texas",31
48029181902,"Census Tract 1819.02, Bexar County, Texas",26
48029182001,"Census Tract 1820.01, Bexar County, Texas",35
