GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",4981,404,3380,410,1601,375
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",4030,533,2695,384,1335,493
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",6469,665,4754,437,1715,721
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",8926,742,4792,561,4134,748
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",4921,360,2316,448,2605,480
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",6695,667,3280,474,3415,686
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",3304,303,1752,277,1552,229
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",4613,388,2969,405,1644,394
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",4706,379,2732,299,1974,394
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",5075,327,2539,288,2536,409
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",5557,503,3232,450,2325,343
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",1550,162,1012,160,538,145
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",5077,263,4117,287,960,237
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",3767,289,2832,340,935,228
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",4746,441,3441,456,1305,310
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",5125,404,3616,449,1509,323
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",9671,574,5673,585,3998,614
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",2146,349,1469,353,677,246
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",4463,467,2549,299,1914,355
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",4380,300,2941,408,1439,347
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",1951,359,497,252,1454,402
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",3047,434,715,165,2332,418
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",3312,578,650,196,2662,647
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",3956,651,1347,536,2609,613
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",4430,642,1490,373,2940,582
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",5100,504,2520,444,2580,482
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",1817,265,372,174,1445,224
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",5646,621,3451,496,2195,600
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",4493,459,2046,350,2447,473
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",5095,587,3022,378,2073,469
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",2529,533,1266,330,1263,466
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",3003,306,1649,291,1354,234
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",6193,966,3025,581,3168,961
1400000US48029131401,48029131401,"Census Tract 1314.01, Bexar County, Texas",7003,651,2627,545,4376,628
1400000US48029131402,48029131402,"Census Tract 1314.02, Bexar County, Texas",3059,347,1049,302,2010,479
1400000US48029131503,48029131503,"Census Tract 1315.03, Bexar County, Texas",3337,395,2180,442,1157,367
1400000US48029131504,48029131504,"Census Tract 1315.04, Bexar County, Texas",4109,454,2092,495,2017,400
1400000US48029131505,48029131505,"Census Tract 1315.05, Bexar County, Texas",3664,345,1801,412,1863,456
1400000US48029131506,48029131506,"Census Tract 1315.06, Bexar County, Texas",3199,482,1297,372,1902,422
1400000US48029131507,48029131507,"Census Tract 1315.07, Bexar County, Texas",6993,960,2384,428,4609,814
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",2216,323,1334,221,882,259
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",5004,399,3159,366,1845,450
1400000US48029131608,48029131608,"Census Tract 1316.08, Bexar County, Texas",4774,498,3003,459,1771,539
1400000US48029131609,48029131609,"Census Tract 1316.09, Bexar County, Texas",9254,943,4733,774,4521,959
1400000US48029131610,48029131610,"Census Tract 1316.10, Bexar County, Texas",5655,462,3686,415,1969,388
1400000US48029131611,48029131611,"Census Tract 1316.11, Bexar County, Texas",1580,241,1177,199,403,153
1400000US48029131612,48029131612,"Census Tract 1316.12, Bexar County, Texas",1922,529,1130,521,792,340
1400000US48029131613,48029131613,"Census Tract 1316.13, Bexar County, Texas",5306,460,2722,527,2584,566
1400000US48029131614,48029131614,"Census Tract 1316.14, Bexar County, Texas",3952,529,2432,524,1520,326
1400000US48029131615,48029131615,"Census Tract 1316.15, Bexar County, Texas",6794,656,3881,666,2913,620
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",1193,259,1119,255,74,56
1400000US48029131801,48029131801,"Census Tract 1318.01, Bexar County, Texas",2511,310,2142,322,369,145
1400000US48029131802,48029131802,"Census Tract 1318.02, Bexar County, Texas",5730,570,3936,500,1794,520
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1772,287,192,80,1580,286
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",3117,354,346,184,2771,420
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",3391,392,233,175,3158,435
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",3916,452,389,156,3527,486
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",4043,346,478,155,3565,369
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",2382,357,284,96,2098,353
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",4532,434,965,345,3567,459
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",4936,456,689,174,4247,470
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1750,302,207,41,1543,294
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",3275,509,427,121,2848,518
1400000US48029141101,48029141101,"Census Tract 1411.01, Bexar County, Texas",4313,560,1162,284,3151,640
1400000US48029141102,48029141102,"Census Tract 1411.02, Bexar County, Texas",3511,468,902,340,2609,434
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",7192,586,1095,296,6097,596
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",5537,620,1781,315,3756,611
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",4043,413,656,150,3387,421
1400000US48029141403,48029141403,"Census Tract 1414.03, Bexar County, Texas",3556,479,777,227,2779,497
1400000US48029141404,48029141404,"Census Tract 1414.04, Bexar County, Texas",4901,642,1533,289,3368,613
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",4602,427,565,216,4037,425
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",5209,530,1664,228,3545,492
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",4751,768,1477,289,3274,737
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",6091,766,3637,636,2454,658
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",5089,611,201,87,4888,599
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",4320,568,517,231,3803,560
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",4446,674,100,53,4346,688
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",4256,426,115,56,4141,416
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",4329,630,149,114,4180,666
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",4221,370,220,83,4001,379
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",6312,662,538,267,5774,666
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",2887,352,458,260,2429,442
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",5751,693,318,137,5433,709
